Company Name,Address,Phone,Website,Contact Name,Contact Title,Email,Email Source,Lead Source
Vance J Elliott Realty Group,"1504 Aquarena Springs Dr, San Marcos, TX, 78666",(512) 353-3002,,,,,,Yelp
"Vantage Real Estate Group, LLC","419 N King St #2, Seguin, TX 78155, USA",(830) 303-1948,http://www.vantagerealestategroup.net,,,karen@vantagerealestategroup.net,Hunter,Google Places
Vibe CoLiving,"New Braunfels, TX, 78130",,,,,,,Yelp
W2RESQ,"5900 Balcones Dr, Austin, TX, 78731",(281) 805-4222,,,,,,Yelp
Wakefield Realtors,"17020 San Pedro, San Antonio, TX, 78258",(210) 490-7039,,,,,,Yelp
Welcome Home Real Estate,"604 River Rd, Boerne, TX, 78006",(210) 838-5094,,,,,,Yelp
Wheeler Property Management,"1018 River Rd, Boerne, TX 78006, USA",(210) 505-5210,https://www.wheeler-pm.com/,,,,,Google Places
Will Ochse,"4901 Broadway, San Antonio, TX, 78209",(210) 784-8081,,,,,,Yelp
"Windrose Realty, LLC","18911 Hardy Oak Blvd #157, San Antonio, TX 78258, USA",(210) 560-4576,http://www.windroserealty.com/,,,elsa@windroserealty.com,Hunter,Google Places
Wright Property Management Group,"5460 Babcock Rd Ste 120-104, San Antonio, TX 7h8240, USA",(210) 298-3948,http://www.wrightpg.com/,,,brittanym@wrightpg.com,Hunter,Google Places
Xsellence Realty,"12415 Bandera Rd, Helotes, TX, 78023",(210) 592-4285,,,,,,Yelp
